File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000ASB	bigBed broadPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF001SUF	1931226	Bradley Bernstein, Broad	c74a30b43731074c89727948deea701a		https://www.encodeproject.org/files/ENCFF000ASB/@@download/ENCFF000ASB.bigBed	hg19				archived	s3://encode-public/2010/11/16/16a9c8c7-2c1b-4454-961f-b237620d94ff/ENCFF000ASB.broadPeak.bigbed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF000ASE	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2	1							1728763008	Bradley Bernstein, Broad	feff6d4ef1504ac76f754c515ba44bc1		https://www.encodeproject.org/files/ENCFF000ASE/@@download/ENCFF000ASE.bam	hg19				archived	s3://encode-public/2010/11/16/d3fe5aae-1b43-4772-a111-1ae2dd50ca90/ENCFF000ASE.bam	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF000ASF	bigWig	signal	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE												508472809	Bradley Bernstein, Broad	0c9fc6c576454b0cdda175b393308ae8		https://www.encodeproject.org/files/ENCFF000ASF/@@download/ENCFF000ASF.bigWig	hg19				archived	s3://encode-public/2010/11/16/295153a6-662d-4c8d-b9b1-b96e1f080e00/ENCFF000ASF.bigWig	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF000ASR	fastq	reads	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2	1	36		single-ended				3622353022	Bradley Bernstein, Broad	0cc8afc706d8d4472f5fcd495579dbd4		https://www.encodeproject.org/files/ENCFF000ASR/@@download/ENCFF000ASR.fastq.gz			Illumina Genome Analyzer IIe	/files/ENCFF000ARO/	released	s3://encode-public/2010/11/16/9c8afc01-09f2-4a3d-88ac-babb5f3be504/ENCFF000ASR.fastq.gz	low read length, low read depth, control low read depth, inconsistent control read length		control insufficient read depth	
ENCFF000ATQ	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2	1							270465998	Bradley Bernstein, Broad	497bc9175fbb4583120295410ded75b2		https://www.encodeproject.org/files/ENCFF000ATQ/@@download/ENCFF000ATQ.bam	hg19				archived	s3://encode-public/2010/11/16/a16c8c8b-8949-4471-ae2c-6f1d4cd66b37/ENCFF000ATQ.bam	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF000ATR	bigWig	signal	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE												455391088	Bradley Bernstein, Broad	a3b3600f038dfaf4ed6eb1724ffe19bf		https://www.encodeproject.org/files/ENCFF000ATR/@@download/ENCFF000ATR.bigWig	hg19				archived	s3://encode-public/2010/11/16/56c307ea-9c35-4a8d-a356-016ebf2a0dd9/ENCFF000ATR.bigWig	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF000ATS	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF000AUB	1314387074	Bradley Bernstein, Broad	1abf5ea115118f57b4411f5945cea42a		https://www.encodeproject.org/files/ENCFF000ATS/@@download/ENCFF000ATS.bam	hg19				archived	s3://encode-public/2010/11/16/12dfd794-3a95-4016-b160-21b487e37d25/ENCFF000ATS.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF000ATZ	fastq	reads	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2	1	51		single-ended				406898531	Bradley Bernstein, Broad	823fd697494fcfcfc9b54c7a497593c6		https://www.encodeproject.org/files/ENCFF000ATZ/@@download/ENCFF000ATZ.fastq.gz			Illumina Genome Analyzer IIe		archived	s3://encode-public/2010/11/16/a2e4c96e-ff7b-4ef2-a0f9-598c2e1cf1e1/ENCFF000ATZ.fastq.gz	low read length, low read depth, control low read depth		control insufficient read depth, missing controlled_by	
ENCFF000AUB	fastq	reads	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1	1	36		single-ended				1965240612	Bradley Bernstein, Broad	3e2cf68651b7bfbd53642127baffe26d		https://www.encodeproject.org/files/ENCFF000AUB/@@download/ENCFF000AUB.fastq.gz			Illumina Genome Analyzer IIe	/files/ENCFF000ARK/	released	s3://encode-public/2010/11/16/d9fcbf92-af4a-4e54-a01c-48d7eb841802/ENCFF000AUB.fastq.gz	low read length, low read depth, control low read depth, inconsistent control read length		control insufficient read depth	
ENCFF001SUF	bed broadPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE												1202044	Bradley Bernstein, Broad	8c6914d0d444aeffe483fcae3897cace		https://www.encodeproject.org/files/ENCFF001SUF/@@download/ENCFF001SUF.bed.gz	hg19				archived	s3://encode-public/2010/11/16/3860b50d-2c63-4ba3-9376-cec56be720fe/ENCFF001SUF.broadPeak.gz	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
